features_ID,bedrooms,squareFootage,bathrooms,lotSize,features
81,0.0,1740.0,2.0,43124.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'fireplaceType': 'Masonry', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Mixed', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'unitCount': 1}"
82,2.0,3405.0,3.0,962240.0,"{'architectureType': 'Rambler', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Baseboard', 'roofType': 'Asphalt', 'unitCount': 1}"
83,3.0,2005.0,2.0,6216.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Garage', 'pool': True, 'roofType': 'Tile', 'unitCount': 1}"
84,0.0,0.0,0.0,19602.0,{}
85,3.0,1463.0,1.0,4480.0,"{'architectureType': 'Colonial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 7, 'unitCount': 1}"
86,5.0,4798.0,2.5,16988.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 7, 'unitCount': 1}"
87,0.0,0.0,0.0,0.0,{}
88,4.0,2410.0,3.0,6600.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'roofType': 'Composition Shingle', 'garage': True, 'garageType': 'Garage'}"
89,4.0,1398.0,2.0,7405.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood Shingle', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 1, 'foundationType': 'OTHER', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Shingle', 'unitCount': 1}"
90,2.0,975.0,1.0,10019.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 1, 'garage': True, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Metal', 'roomCount': 4}"
91,3.0,1080.0,2.0,7170.0,"{'cooling': True, 'coolingType': 'Evaporative', 'exteriorType': 'Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1}"
92,3.0,1310.0,2.0,4792.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 2, 'garage': True, 'garageType': 'Built-in', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 6, 'unitCount': 1}"
93,0.0,2797.0,4.0,6500.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'foundationType': 'OTHER', 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Slate', 'roomCount': 5, 'unitCount': 1}"
94,4.0,1896.0,2.0,17200.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Gas', 'roomCount': 8, 'unitCount': 1}"
95,2.0,624.0,1.0,0.0,"{'architectureType': 'Mobile Home', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Baseboard', 'roofType': 'Metal'}"
96,0.0,0.0,0.0,0.0,{}
97,0.0,0.0,0.0,0.0,{}
98,3.0,1263.0,2.0,2736.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'heating': True, 'heatingType': 'Central', 'roofType': 'Tile', 'architectureType': 'Condo / Apartment'}"
99,0.0,0.0,0.0,0.0,{}
